ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2021_PWD_19891_6,tender,tender,1,29-09-2022,2021_PWD_19891_6,TRC/SOPD-G/TEZPUR/2020-21,TRC/SOPD-G/BIS/06,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,11919684,01-04-2021 10:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,5,assessment,Price Bid Opening Date,NA,19-01-2021 11:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19891_9,tender,tender,1,29-09-2022,2021_PWD_19891_9,TRC/SOPD-G/TEZPUR/2020-21,TRC/SOPD-G/BIS/09,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,9548716,01-04-2021 10:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Bid Opening,3,assessment,Price Bid Opening Date,NA,19-01-2021 11:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_NHM_19920_1,tender,tender,1,29-09-2022,2021_NHM_19920_1,NHM-32049/1/2020-Construct,Renovation of existing BPHC Main Building New at Putia Sisiborgaon in Dhemaji District under NHM Assam,Works,Open Tender,Item Rate,Civil Works - Building,NA,No,No,9992617,01-04-2021 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,5,assessment,Price Bid Opening Date,NA,27-01-2021 14:30,NA,National Health Mission,2021-2022
ocds-kjhdrl-2021_PWD_19928_1,tender,tender,1,29-09-2022,2021_PWD_19928_1,SOPD-G/2020-21/S AND J/EE/03,SOPD-G/2020-21/S AND J/EE/03,Works,Open Tender,Item Rate,Civil Works,NA,No,No,189328000,01-04-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,2,assessment,Price Bid Opening Date,NA,13-01-2021 12:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_SSA_19927_1,tender,tender,1,29-09-2022,2021_SSA_19927_1,SSA_PrePri_Proc_36_2020_3755,SUPPLY OF TLM KIT,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,101350000,01-04-2021 14:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,6,assessment,Price Bid Opening Date,NA,27-01-2021 15:00,NA,Axom Sarba Siksha Abhijan Mission,2021-2022
ocds-kjhdrl-2021_NHM_19937_1,tender,tender,1,29-09-2022,2021_NHM_19937_1,NHM/C-CW/Eye OT and eye ward/DH/3982/19/186,Construction of Eye OT and Eye ward at Howraghat CHC in Karbi Anglong District,Works,Open Tender,Turn-key,Civil Works - Building,NA,No,No,8000000,01-05-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,4,assessment,Price Bid Opening Date,NA,19-01-2021 15:30,NA,National Health Mission,2021-2022
ocds-kjhdrl-2021_WPTBC_19932_1,tender,tender,1,29-09-2022,2021_WPTBC_19932_1,PTDC/Engg/2019-20/79,"Construction of Fishery at Sareen Beel Min Palan Co-operative Society Ltd. Regd. No. BTC (K)3, District Baska, Assam,Pin-781372 under Article 275 (1) of the constitution of India during the year 2019-20.",Works,Open Tender,Item Rate,Civil Works,NA,No,No,10000000,01-05-2021 11:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,27-01-2021 15:30,NA,Welfare of Plain Tribes and Backward Classes,2021-2022
ocds-kjhdrl-2020_GMC_19667_9,tender,tender,1,29-09-2022,2020_GMC_19667_9,GER/CE/1840/2020/11 Dated 16/12/2020,Repairing and renovation of public toilet at GMC head office,Works,Open Tender,Lump-sum,Civil Works,NA,No,No,634700,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19667_10,tender,tender,1,29-09-2022,2020_GMC_19667_10,GER/CE/1840/2020/11 Dated 16/12/2020,Repairing of public toilet at A K Azad Road,Works,Open Tender,Lump-sum,Civil Works,NA,No,No,400000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,2,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19668_7,tender,tender,1,29-09-2022,2020_GMC_19668_7,GER/CE/1840/2020/12 Dated 16/12/2020,Construction and maintenance of public toilet at Adabari,Works,Open Tender,EOI,Civil Works,NA,No,No,1250000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19668_8,tender,tender,1,29-09-2022,2020_GMC_19668_8,GER/CE/1840/2020/12 Dated 16/12/2020,Construction and maintenance of public toilet at Pandu Railway Bazar,Works,Open Tender,EOI,Civil Works,NA,No,No,1250000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19668_9,tender,tender,1,29-09-2022,2020_GMC_19668_9,GER/CE/1840/2020/12 Dated 16/12/2020,Construction and maintenance of public toilet at Pandu Cabin,Works,Open Tender,EOI,Civil Works,NA,No,No,1250000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19668_10,tender,tender,1,29-09-2022,2020_GMC_19668_10,GER/CE/1840/2020/12 Dated 16/12/2020,Construction and maintenance of public toilet at Naba Yubak Sangha hall,Works,Open Tender,EOI,Civil Works,NA,No,No,1250000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19668_11,tender,tender,1,29-09-2022,2020_GMC_19668_11,GER/CE/1840/2020/12 Dated 16/12/2020,Repairing of a public toilet in ppp mode at Paltan Bazar near Bijuli Bhawan,Works,Open Tender,EOI,Civil Works,NA,No,No,2914600,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2020_GMC_19668_12,tender,tender,1,29-09-2022,2020_GMC_19668_12,GER/CE/1840/2020/12 Dated 16/12/2020,Repairing of public toilet at Fancy Bazar Market Complex,Works,Open Tender,EOI,Civil Works,NA,No,No,3000000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2021_PWD_19942_1,tender,tender,1,29-09-2022,2021_PWD_19942_1,T/MLC/SOPD(G)/2020-21/5339,SOPD_G_DAL_1 Re-construction of road from Panbari-Kharupetia Road (Ch. 3rd to 8th Km),Works,Open Tender,Item Rate,Civil Works,NA,No,No,6948000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,2,assessment,Price Bid Opening Date,NA,13-01-2021 13:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19942_2,tender,tender,1,29-09-2022,2021_PWD_19942_2,T/MLC/SOPD(G)/2020-21/5339,SOPD_G_DAL_2 Re construction of DongparaChukabahiDaipam Road (PMGSY Package No As-1646),Works,Open Tender,Item Rate,Civil Works,NA,No,No,7985000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,13-01-2021 13:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_GMC_19944_1,tender,tender,1,29-09-2022,2021_GMC_19944_1,GGR/C/159/2020/3510 DT 05/01/2021,Supply and Installation of Stand Mounted Metallic,Goods,Open Tender,Lump-sum,Miscellaneous Goods,NA,No,No,11750000,01-05-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,Technical Bid Opening,6,assessment,Price Bid Opening Date,NA,18-01-2021 15:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2021_PWD_19942_3,tender,tender,1,29-09-2022,2021_PWD_19942_3,T/MLC/SOPD(G)/2020-21/5339,SOPD_G_DAL_3 Re construction of Kuwaripukhuri Daipam  Road,Works,Open Tender,Item Rate,Civil Works,NA,No,No,6580000,01-05-2021 14:05,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,4,assessment,Price Bid Opening Date,NA,13-01-2021 13:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19947_1,tender,tender,1,29-09-2022,2021_PWD_19947_1,BBCTD/SOPD-G/2020-21/ CHENGA-07,BBCTD/SOPD-G/2020-21/ CHENGA-07,Works,Open Tender,Item Rate,Civil Works,NA,No,No,100000,01-05-2021 15:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,13-01-2021 14:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19949_1,tender,tender,1,29-09-2022,2021_PWD_19949_1,BBCTD/SOPD-G/2020-21/ CHENGA-08,BBCTD/SOPD-G/2020-21/ CHENGA-08,Works,Open Tender,Item Rate,Civil Works,NA,No,No,9000000,01-05-2021 15:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,2,assessment,Price Bid Opening Date,NA,18-01-2021 12:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19947_2,tender,tender,1,29-09-2022,2021_PWD_19947_2,BBCTD/SOPD-G/2020-21/ CHENGA-07,BBCTD/SOPD-G/2020-21/ CHENGA-07,Works,Open Tender,Item Rate,Civil Works,NA,No,No,10000000,01-05-2021 15:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,5,assessment,Price Bid Opening Date,NA,18-01-2021 12:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_WPTBC_19952_1,tender,tender,1,29-09-2022,2021_WPTBC_19952_1,DSC/TDR/630/2020/Pt. 31/,Invitation of TECHNICAL AND COMMERCIAL BIDS for NOODLES / PASTA MAKING MACHINE,Goods,Open Tender,Supply,Machineries,NA,No,No,0,01-05-2021 15:45,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,3,assessment,Price Bid Opening Date,NA,18-01-2021 15:00,NA,Welfare of Plain Tribes and Backward Classes,2021-2022
ocds-kjhdrl-2021_SSA_19943_1,tender,tender,1,29-09-2022,2021_SSA_19943_1,SSAEstPPrFurn405_2020_3810,SUPPLY OF LOW HEIGHT PLASTIC  TABLE AND CHAIR,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,369450000,01-05-2021 16:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,6,assessment,Price Bid Opening Date,NA,08-02-2021 15:00,NA,Axom Sarba Siksha Abhijan Mission,2021-2022
ocds-kjhdrl-2021_SSA_19948_1,tender,tender,1,29-09-2022,2021_SSA_19948_1,SSAPre PriFM411_2020_3811,SUPPLY OF FLOOR MAT,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,49000000,01-05-2021 16:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,6,assessment,Price Bid Opening Date,NA,05-02-2021 15:00,NA,Axom Sarba Siksha Abhijan Mission,2021-2022
ocds-kjhdrl-2021_SSA_19950_1,tender,tender,1,29-09-2022,2021_SSA_19950_1,SSAEstPrePriFur_406_2020_3809,SUPPLY OFPLASTIC MOULDED STORAGE CUPBOARD,Goods,Open Tender,Supply,Supply of Materials,NA,No,No,74259450,01-05-2021 16:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,4,assessment,Price Bid Opening Date,NA,08-02-2021 15:00,NA,Axom Sarba Siksha Abhijan Mission,2021-2022
ocds-kjhdrl-2021_AP_19938_1,tender,tender,1,29-09-2022,2021_AP_19938_1,RE/379(MISC)/PT-IX/2020-21/04,NIT for Supply of Digital Monitoring Receiver Set,Goods,Open Tender,Supply,Electronics Equipment,NA,No,No,2500000,01-05-2021 17:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Online,NA,Technical Bid Opening,2,assessment,Price Bid Opening Date,NA,18-01-2021 15:00,NA,Assam Police,2021-2022
ocds-kjhdrl-2021_DoWR_19939_1,tender,tender,1,29-09-2022,2021_DoWR_19939_1,DIB/SDRF/BAGHJAN/2020-21/1,Immediate measures to Baghjan and Dighaltarang area from the flood devastation of river Brahmaputra (Ananta Nallah) under SDRF for 2020-21,Works,Open Tender,Works,Civil Works,NA,No,No,39999847,01-05-2021 18:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,19-01-2021 14:00,NA,Department of Water Resources,2021-2022
ocds-kjhdrl-2021_DoWR_19941_1,tender,tender,1,29-09-2022,2021_DoWR_19941_1,JOR/SDRF/BORALIMORA/2020-21/1,I/M for excavation of drainage Channel and construction of Sluice gate at Boralimora under SDRF for 2020-21,Works,Open Tender,Works,Civil Works,NA,No,No,14999794,01-05-2021 18:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,To be Opened,5,assessment,Price Bid Opening Date,NA,19-01-2021 14:00,NA,Department of Water Resources,2021-2022
ocds-kjhdrl-2021_DoWR_19955_1,tender,tender,1,29-09-2022,2021_DoWR_19955_1,NAGAON/2020-21/SDRF/I,Immediate measures to protect the L/B of river Kopilli at Ghilani area under SDRF for the year 2020-21,Works,Open Tender,Works,Civil Works,NA,No,No,14999515,01-05-2021 18:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,19-01-2021 14:00,NA,Department of Water Resources,2021-2022
ocds-kjhdrl-2021_DoWR_19958_1,tender,tender,1,29-09-2022,2021_DoWR_19958_1,NAGAON/2020-21/SDRF/II,Immediate measures to close the breach at Hawaipur including restoration of right bank of Kopilli dyke from Kharikhana to Jugijan in between ch.18000 m to ch.23000m under SDRF for 2020-21.,Works,Open Tender,Works,Civil Works,NA,No,No,79999853,01-05-2021 18:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,19-01-2021 14:00,NA,Department of Water Resources,2021-2022
ocds-kjhdrl-2020_DoWR_19573_3,tender,tender,1,29-09-2022,2020_DoWR_19573_3,DIB/DEPOSITWORK/IOCL/2020-21/1,Pro-siltation measures to facilitate river water of Dibru into Raw Water Intake at Nazirating including recoupment of existing revetment works.,Works,Open Tender,Works,Civil Works,NA,No,No,9888545,01-05-2021 18:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,Financial Bid Opening,1,assessment,Price Bid Opening Date,NA,12-01-2021 14:00,NA,Department of Water Resources,2021-2022
ocds-kjhdrl-2021_DoWR_19960_1,tender,tender,1,29-09-2022,2021_DoWR_19960_1,NAGAON/2020-21/SDRF/IV,Immediate measures to protect the L/B of river Kopilli at Jarabari  area  under SDRF for the year 2020-21,Works,Open Tender,Works,Civil Works,NA,No,No,19999960,01-05-2021 18:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,19-01-2021 14:00,NA,Department of Water Resources,2021-2022
ocds-kjhdrl-2021_DoWR_19962_1,tender,tender,1,29-09-2022,2021_DoWR_19962_1,NAGAON/2020-21/SDRF/V,Immediate measures to restore the R/B of Kollong river from Phulaguri to Mulankata and Raha to Chaparmukh at Mulankata area under SDRF for 2020-21,Works,Open Tender,Works,Civil Works,NA,No,No,19999960,01-05-2021 18:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,19-01-2021 14:00,NA,Department of Water Resources,2021-2022
ocds-kjhdrl-2021_PWD_19963_1,tender,tender,1,29-09-2022,2021_PWD_19963_1,CE/DEV/TB/358/2020-21/2,SOPD_G_20_21_41 (1) Re-construction of Manik Bezbaruah Road (from Ratna Kt. Barkataki High School to Irrigation,Works,Open Tender,Item Rate,Civil Works,NA,No,No,30012000,01-05-2021 18:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,3,assessment,Price Bid Opening Date,NA,19-01-2021 14:30,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PCCF_19945_1,tender,tender,1,29-09-2022,2021_PCCF_19945_1,B/5/CAMOA/LSF/2021/15,30 Ha Artificial Regeneration Plantation for package 1,Works,Open Tender,Works,Agricultural or Forestry,NA,No,No,7746608,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,999,No,Online,NA,Technical Evaluation,3,assessment,Price Bid Opening Date,NA,02-02-2021 14:00,NA,Pr. Chief Conservator of Forest and Head of Forest Force,2021-2022
ocds-kjhdrl-2021_UDD_19954_1,tender,tender,1,29-09-2022,2021_UDD_19954_1,NIT 06 of 2020-21 dated 05-01-2021,"Execution, testing and commissioning of balance work for Lakhipur (Goalpara) Town Water Supply Scheme",Works,Open Tender,Item Rate,Civil Works - Water Works,NA,No,No,18899252,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,20-01-2021 15:00,NA,Urban Development Department,2021-2022
ocds-kjhdrl-2021_PCCF_19945_2,tender,tender,1,29-09-2022,2021_PCCF_19945_2,B/5/CAMOA/LSF/2021/15,30 Ha Artificial Regeneration Plantation Poba RF for package 2,Works,Open Tender,Works,Agricultural or Forestry,NA,No,No,7862920,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,999,No,Online,NA,Technical Evaluation,2,assessment,Price Bid Opening Date,NA,02-02-2021 14:00,NA,Pr. Chief Conservator of Forest and Head of Forest Force,2021-2022
ocds-kjhdrl-2021_UDD_19957_1,tender,tender,1,29-09-2022,2021_UDD_19957_1,NIT 07 of 2020-21 dated 05-01-20210,"Execution, testing and commissioning of balance work for Lakhipur (Goalpara) Town Water Supply Scheme",Works,Open Tender,Item Rate,Civil Works - Water Works,NA,No,No,2404871,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,20-01-2021 15:00,NA,Urban Development Department,2021-2022
ocds-kjhdrl-2021_PCCF_19945_3,tender,tender,1,29-09-2022,2021_PCCF_19945_3,B/5/CAMOA/LSF/2021/15,20 Ha Aided Natural Regeneration Plantation Poba RF for package 3,Works,Open Tender,Works,Agricultural or Forestry,NA,No,No,4205706,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,999,No,Online,NA,Technical Evaluation,1,assessment,Price Bid Opening Date,NA,02-02-2021 14:00,NA,Pr. Chief Conservator of Forest and Head of Forest Force,2021-2022
ocds-kjhdrl-2021_ICD_19964_1,tender,tender,1,29-09-2022,2021_ICD_19964_1,APL/CMFunction/20-21/2275,Event Execution for Inauguration of Sequential Commissioning Ceremony of APL Project,Works,Open Tender,Item Rate,Miscellaneous Works,NA,No,No,15500000,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,60,No,Offline,NA,Financial Bid Opening,5,assessment,Price Bid Opening Date,NA,13-01-2021 15:00,NA,Industries and Commerce Department,2021-2022
ocds-kjhdrl-2021_PWD_19956_4,tender,tender,1,29-09-2022,2021_PWD_19956_4,CE/APART/01/2021/14,APART/NOCP/ ROADS/KAR-02(Construction of Road from Hamlai Gaon to Longnit Gaon (Through Longkoi Bey Village) Borjan Mouza in Karbi Anglong district (Length-3.000K.M),Works,Open Tender,Lump-sum,Civil Works – Roads,NA,No,No,37305000,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,Financial Bid Opening,9,assessment,Price Bid Opening Date,NA,05-02-2021 14:30,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PCCF_19961_1,tender,tender,1,29-09-2022,2021_PCCF_19961_1,FLKT/CAMPA/TENDER/02,50 hA AFFORESTATION PLANTATION AT RAMPUR,Works,Open Tender,Works,Agricultural or Forestry,NA,No,No,14871165,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,999,No,Online,NA,Technical Bid Opening,3,assessment,Price Bid Opening Date,NA,20-01-2021 09:00,NA,Pr. Chief Conservator of Forest and Head of Forest Force,2021-2022
ocds-kjhdrl-2021_PWD_19956_8,tender,tender,1,29-09-2022,2021_PWD_19956_8,CE/APART/01/2021/14,APART/NOCP/MARKETS/C-01(MMIP of Bhaga Bazar General Market in Cachar District under APART),Works,Open Tender,Lump-sum,Civil Works - Building,NA,No,No,26403000,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,0,assessment,Price Bid Opening Date,NA,05-02-2021 14:30,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19956_9,tender,tender,1,29-09-2022,2021_PWD_19956_9,CE/APART/01/2021/14,APART/NOCP/MARKETS/MR-02(MMIP of Mayong Bi-weekly Market in Morigaon District under APART),Works,Open Tender,Lump-sum,Civil Works - Building,NA,No,No,17562000,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,Technical Evaluation,1,assessment,Price Bid Opening Date,NA,05-02-2021 14:30,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_WPTBC_19966_1,tender,tender,1,29-09-2022,2021_WPTBC_19966_1,"DW/NIT/997/2020-21, Dtd. 19th of December/2020",FIXATION OF RATE OF SHELTER KIT,Goods,Open Tender,Item Rate,Supply of Materials,NA,No,No,0,01-06-2021 09:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,365,No,Online,NA,To be Opened,1,assessment,Price Bid Opening Date,NA,11-01-2021 15:00,NA,Welfare of Plain Tribes and Backward Classes,2021-2022
ocds-kjhdrl-2021_PWD_19975_1,tender,tender,1,29-09-2022,2021_PWD_19975_1,BBCTD/SOPD-G/2020-21/ CHENGA-09,BBCTD/SOPD-G/2020-21/ CHENGA-09,Works,Open Tender,Item Rate,Civil Works,NA,No,No,8000000,01-06-2021 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,3,assessment,Price Bid Opening Date,NA,18-01-2021 12:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19976_1,tender,tender,1,29-09-2022,2021_PWD_19976_1,BBCTD/SOPD-G/2020-21/ CHENGA-10,BBCTD/SOPD-G/2020-21/ CHENGA-10,Works,Open Tender,Item Rate,Civil Works,NA,No,No,8000000,01-06-2021 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Technical Evaluation,2,assessment,Price Bid Opening Date,NA,18-01-2021 12:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_PWD_19977_1,tender,tender,1,29-09-2022,2021_PWD_19977_1,BBCTD/SOPD-G/2020-21/ CHENGA-11,BBCTD/SOPD-G/2020-21/ CHENGA-11,Works,Open Tender,Item Rate,Civil Works,NA,No,No,7000000,01-06-2021 12:10,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,6,assessment,Price Bid Opening Date,NA,18-01-2021 12:10,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2021_SSA_19974_1,tender,tender,1,29-09-2022,2021_SSA_19974_1,SSAEqProCareerGui319_2020_3829,PRINTING  SUPPLY of Assam Career Guidance Handbook,Works,Open Tender,Works,Miscellaneous Works,NA,No,No,1025000,01-06-2021 12:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Offline,NA,To be Opened,3,assessment,Price Bid Opening Date,NA,27-01-2021 15:00,NA,Axom Sarba Siksha Abhijan Mission,2021-2022
ocds-kjhdrl-2021_UDD_19982_1,tender,tender,1,29-09-2022,2021_UDD_19982_1,NIT 07 of 2020-21 dated 05-01-20210,"Execution, testing and commissioning of balance work for Sarthebari Town Water Supply Scheme",Works,Open Tender,Item Rate,Civil Works - Water Works,NA,No,No,2404871,01-06-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,To be Opened,3,assessment,Price Bid Opening Date,NA,20-01-2021 15:00,NA,Urban Development Department,2021-2022
ocds-kjhdrl-2020_UDD_19697_2,tender,tender,1,29-09-2022,2020_UDD_19697_2,NIT 05 of 2020-21 dated 18-12-2020,Balance works of Mirza town water supply scheme (extended part of Palashbari Town Water Supply scheme ),Works,Open Tender,Item Rate,Civil Works - Water Works,NA,No,No,10872764,01-06-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,Technical Bid Opening,3,assessment,Price Bid Opening Date,NA,19-01-2021 15:00,NA,Urban Development Department,2021-2022
ocds-kjhdrl-2021_NHM_19978_1,tender,tender,1,29-09-2022,2021_NHM_19978_1,Boat Clinic/Misc/2017-18/Pt-1/3347,FOR SELECTION TO PROVIDE   PRIMARY HEALTHCARE SERVICES TO PEOPLE IN THE CHAR AREAS,Services,Open Tender,EOI,Miscellaneous Services,NA,No,No,86000000,01-06-2021 15:30,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,To be Opened,7,assessment,Price Bid Opening Date,NA,03-02-2021 16:00,NA,National Health Mission,2021-2022
ocds-kjhdrl-2021_ASPIR_19986_1,tender,tender,1,29-09-2022,2021_ASPIR_19986_1,ASPIRe/43/2018/PART/229  Dated 07.01,Hiring of Communication Agency,Services,Limited,Item Rate,Miscellaneous Services,NA,No,No,0,01-06-2021 16:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Not Applicable,NA,To be Opened,4,assessment,Price Bid Opening Date,NA,06-02-2021 15:30,NA,Finance Department - World Bank Tenders,2021-2022
