ocid,initiationType,tag,id,date,tender/id,tender/externalReference,tender/title,tender/mainProcurementCategory,tender/procurementMethod,tender/contractType,tenderclassification/description,tender/submissionMethodDetails,tender/participationFee/0/multiCurrencyAllowed,tender/allowTwoStageTender,tender/value/amount,tender/datePublished,tender/milestones/title,tender/milestones/code,tender/milestones/type,tender/milestones/dueDate,tender/tenderPeriod/durationInDays,tender/allowPreferentialBidder,Payment Mode,tender/status,tender/stage,tender/numberOfTenderers,tender/milestones/type.1,tender/milestones/title.1,tender/milestones/dueDate.1,tender/bidOpening/date,tender/documents/id,buyer/name,fiscal_year
ocds-kjhdrl-2022_PWD_24085_1,tender,tender,1,29-09-2022,2022_PWD_24085_1,DRC-XIII/16/98/NIT/DIB/Pt-I/41,Construction of Cheleng (joyasasoni ali) and Chelengchuk connecting Road (L- 1.3 Km from Ch 0.00m to Ch 1300.00 m) under SOPD-G for the year 2021 -2022 under Naharkatia LAC.,Works,Open Tender,Item Rate,Civil Works – Roads,NA,No,No,"97,68,380",21-01-2022 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,2,assessment,Price Bid Opening Date,NA,27-01-2022 11:00,NA,Public Works Roads Department,2021-2022
ocds-kjhdrl-2022_PWBNH_24428_1,tender,tender,1,29-09-2022,2022_PWBNH_24428_1,CE/BLDG/ARC-N/124/2021/02 Ram Rai Stadium,Consultancy services for the works Ram Rai Stadium (dist. Barpeta),Works,Open Tender,Item Rate,Civil Works - Building,NA,No,No,"12,00,00,000",19-02-2022 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,Financial Bid Opening,NA,assessment,Price Bid Opening Date,NA,11-03-2022 12:00,NA,Public Works Building and NH Department,2021-2022
ocds-kjhdrl-2021_GMDA_22739_1,tender,tender,1,29-09-2022,2021_GMDA_22739_1,GMDA/DEV/116/2020/Pt-I/4,"Topographic Survey works at Silsako Beel and its peripheral channels at Guwahati, Assam",Services,Open Tender,Item Rate,Miscellaneous Services,NA,No,No,"14,00,000",09-04-2021 13:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,Technical Evaluation,NA,assessment,Price Bid Opening Date,NA,24-09-2021 15:00,NA,Guwahati Metropolitan Development Authority,2021-2022
ocds-kjhdrl-2021_DAASC_23344_8,tender,tender,1,29-09-2022,2021_DAASC_23344_8,AGRI/ENGG/4971/APART/ADO OFFICE/2021-22/119,"Construction of office building of the ADO Officer including sanitary etc at 2nd Rohan Gaon, Sapekhati I",Works,Open Tender,Works,Civil Works,NA,No,Yes,"60,00,000",11-10-2021 14:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,45,No,Not Applicable,NA,Cancelled,NA,assessment,Price Bid Opening Date,NA,25-11-2021 14:00,NA,Directorate of Agriculture and Assam Seed Corporation,2021-2022
ocds-kjhdrl-2022_ARNIP_24851_2,tender,tender,1,29-09-2022,2022_ARNIP_24851_2,"CE/ARNIP/RI-2/01/2018/44 Dtd March 21, 2022","Improvement, upgradation and 5 year performance based maintenance works of Road A25-Borkhola-Kalain",Works,Open Tender,Lump-sum,Civil Works,NA,No,No,"1,15,58,00,000",24-03-2022 17:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,To be Opened,NA,assessment,Price Bid Opening Date,NA,19-05-2022 14:15,NA,Public Works Roads Department-Externally Aided Project,2021-2022
ocds-kjhdrl-2022_GMC_26128_73,tender,tender,1,29-09-2022,2022_GMC_26128_73,GER/CE/2016/2022/4 DATED-15/06/2022,"Construction of Maa Manasha Path (1 no upapath), Borpathar W/N-44",Works,Open Tender,Lump-sum,Civil Works – Roads,NA,No,No,,07-02-2022 12:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,90,No,Online,NA,To be Opened,NA,assessment,Price Bid Opening Date,NA,07-07-2022 14:00,NA,Guwahati Municipal Corporation,2021-2022
ocds-kjhdrl-2022_APGCL_24897_1,tender,tender,1,29-09-2022,2022_APGCL_24897_1,NIT09,"Construction of stone rubble masonry retaining wall and drain, toe walland drain and 6 nos of stone masonry catchpit at 2nd bench of newly excavated area on left bank of up stream side of dam at KLHEP",Works,Open Tender,Item Rate,Civil Works,NA,No,No,"40,56,338",30-03-2022 15:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Online,NA,To be Opened,NA,assessment,Price Bid Opening Date,NA,27-04-2022 15:00,NA,Assam Power Generation Company Limited,2021-2022
ocds-kjhdrl-2021_APHC_21985_1,tender,tender,1,29-09-2022,2021_APHC_21985_1,APHC/CS/E/M/22/21-22_ Kheroni,Electrification Work of Renovation of existing RCC 2 storied PS at Kheroni P.S. in Hamren District under MOITRI Scheme.,Works,Open Tender,Item Rate,Electrical Works,NA,No,No,"53,41,312",28-06-2021 16:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,120,No,Offline,NA,Cancelled,NA,assessment,Price Bid Opening Date,NA,27-07-2021 11:30,NA,Assam Police Housing Corporation Ltd,2021-2022
ocds-kjhdrl-2021_PWBNH_21830_1,tender,tender,1,29-09-2022,2021_PWBNH_21830_1,SE/TB/TEN/01/2021-22/230 Dated 01.06.2021,Conversion of Isolation ward to ICU unit at TMCH Complex on account of COVID-19 Pandemic including Gas Pipeline Connection and other Supporting Works under SOPD-G for 2021-22,Works,Open Tender,Item Rate,Civil Works - Building,NA,No,No,"1,33,53,516",06-09-2021 10:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,180,No,Offline,NA,AOC,2,assessment,Price Bid Opening Date,NA,16-06-2021 13:00,NA,Public Works Building and NH Department,2021-2022
ocds-kjhdrl-2021_HB_22369_5,tender,tender,1,29-09-2022,2021_HB_22369_5,DJN / 25/2021-22/1462,"Supply of non Dietary articles for District Jail Nalbari, during the Financial Year 2020-21 for GROUP-E",Goods,Open Tender,Supply,Miscellaneous Goods,NA,No,No,,08-04-2021 15:00,Price Bid Opening Date,PreBid Meeting Date,assessment,NA,150,No,Online,NA,AOC,1,assessment,Price Bid Opening Date,NA,17-08-2021 15:00,NA,Home B,2021-2022
